Exam| RRB GROUP-D CBT-I
Subject| GENERAL AWARENESS & CURRENT AFFAIRS (GACA)
Topic|
SubTopic|
Level| 12+
Notification| CEN-08/2024
Type| PYQ
Marks| 1
QType| MCQ
ImageFolder| NO

QEN| The Indian Army contingent that took part in the fourth edition of Exercise AUSTRAHIND 2025 held in Australia was commanded by a battalion of ______.
QBN| ২০২৫ সালে অস্ট্রেলিয়ায় অনুষ্ঠিত 'এক্সারসাইজ অস্ট্রা-হিন্দ ২০২৫' (Exercise AUSTRAHIND 2025)-এর চতুর্থ সংস্করণে অংশগ্রহণকারী ভারতীয় সেনার কন্টিনজেন্টটি কার ব্যাটালিয়ন দ্বারা পরিচালিত হয়েছিল?
Common| 
Image| 
A| Gorkha Rifles / গোর্খা রাইফেলস (Gorkha Rifles)
B| Madras Regiment / মাদ্রাজ রেজিমেন্ট (Madras Regiment)
C| Rajput Regiment / রাজপুত রেজিমেন্ট (Rajput Regiment)
D| Sikh Regiment / শিখ রেজিমেন্ট (Sikh Regiment)
Shift| 10/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 7.88
Topic| 
SubTopic| 
QuestionID| GACA-000901

QEN| Who was appointed as Chairperson of the Economic Advisory Council to the Prime Minister (EAC‑PM) in June 2025?
QBN| ২০২৫ সালের জুনে প্রধানমন্ত্রীর অর্থনৈতিক উপদেষ্টা পরিষদের (EAC-PM) চেয়ারম্যান হিসেবে কাকে নিযুক্ত করা হয়েছিল?
Common| 
Image| 
A| Suman Bery / সুমন বেরি (Suman Bery)
B| Bibek Debroy / বিবেক দেবরায় (Bibek Debroy)
C| S Mahendra Dev / এস মহেন্দ্র দেব (S Mahendra Dev)
D| Arun Kumar / অরুণ কুমার (Arun Kumar)
Shift| 15/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 5.12
Topic| 
SubTopic| 
QuestionID| GACA-000902

QEN| Which is the first fully indigenous microprocessor developed by C-DAC under the Microprocessor Development Programme in 2025?
QBN| ২০২৫ সালে মাইক্রোপ্রসেসর ডেভেলপমেন্ট প্রোগ্রামের অধীনে সি-ড্যাক (C-DAC) দ্বারা তৈরি প্রথম সম্পূর্ণ দেশীয় মাইক্রোপ্রসেসর কোনটি?
Common| 
Image| 
A| SHAKTI101 / শক্তি১০১ (SHAKTI101)
B| PARAM32 / পরম৩২ (PARAM32)
C| DHRUV64 / ধ্রুব৬৪ (DHRUV64)
D| PRATYUSH55 / প্রত্যুষ৫৫ (PRATYUSH55)
Shift| 06/02/2026 9:00 AM - 10:30 AM
Correct| C
Difficulty| 6.24
Topic| 
SubTopic| 
QuestionID| GACA-000903

QEN| How many new Khelo India Centres are planned by the Delhi Government in 2025?
QBN| ২০২৫ সালে দিল্লি সরকার কতগুলি নতুন খেলো ইন্ডিয়া সেন্টার (Khelo India Centres) চালুর পরিকল্পনা করেছে?
Common| 
Image| 
A| 4 / ৪টি
B| 2 / ২টি
C| 6 / ৬টি
D| 10 / ১০টি
Shift| 03/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 6.01
Topic| 
SubTopic| 
QuestionID| GACA-000904

QEN| Which Section of the Waqf (Amendment) Act, 2025, ensures that women are NOT excluded from Waqf property inheritance?
QBN| ওয়াকফ (সংশোধনী) আইন, ২০২৫-এর কোন ধারাটি নিশ্চিত করে যে মহিলারা ওয়াকফ সম্পত্তির উত্তরাধিকার থেকে বঞ্চিত হবেন না?
Common| 
Image| 
A| Section 2C (2) / ধারা ২সি (২) [Section 2C (2)]
B| Section 3A(2) / ধারা ৩এ (২) [Section 3A(2)]
C| Section 4B / ধারা ৪বি [Section 4B]
D| Section 9F / ধারা ৯এফ [Section 9F]
Shift| 09/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 8.32
Topic| 
SubTopic| 
QuestionID| GACA-000905

QEN| Who became the oldest player to make a debut in men’s international cricket, appearing in a T20I match at the age of 62 years and 147 days in March 2025?
QBN| মার্চ ২০২৫-এ ৬২ বছর ১৪৭ দিন বয়সে একটি টি-টোয়েন্টি (T20I) ম্যাচে অংশগ্রহণ করে পুরুষদের আন্তর্জাতিক ক্রিকেটে অভিষেক হওয়া প্রবীণতম খেলোয়াড় কে হয়েছেন?
Common| 
Image| 
A| Nolan Clarke / নোলান ক্লার্ক (Nolan Clarke)
B| James Southerton / জেমস সাউদার্টন (James Southerton)
C| Andrew Brownlee / অ্যান্ড্রু ব্রাউনলি (Andrew Brownlee)
D| Osman Göker / ওসমান গোকার (Osman Göker)
Shift| 21/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 8.05
Topic| 
SubTopic| 
QuestionID| GACA-000906

