Exam| RRB GROUP-D CBT-I
Subject| MATHEMATICS
Topic| Number System
SubTopic| Prime No.
Level| 10
Notification| CEN-08/2024
Type| PYQ
Marks| 1
QType| MCQ
ImageFolder| NO

QEN| Find the total prime numbers between 146 and 196.
QBN| 146 এবং 196 এর মধ্যে মোট মৌলিক সংখ্যা কতগুলি তা নির্ণয় করো।
Common| 
Image| 
A| 12
B| 11
C| 10
D| 13
Shift| 11/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 7.88
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000045

QEN| Find the number of all possible distinct pairs of two coprime integers such that their product is 180.
QBN| দুটি পরস্পর মৌলিক (coprime) পূর্ণসংখ্যার সমস্ত সম্ভাব্য পৃথক জোড়ের সংখ্যা নির্ণয় করো যাদের গুণফল 180।
Common| 
Image| 
A| 4
B| 3
C| 5
D| 2
Shift| 09/01/2026 9:00 AM - 10:30 AM
Correct| A
Difficulty| 5.12
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000046

QEN| The number of prime numbers between 472 and 486 is:
QBN| 472 এবং 486 এর মধ্যে মৌলিক সংখ্যার সংখ্যা হলো:
Common| 
Image| 
A| 3
B| 4
C| 2
D| 1
Shift| 23/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 6.24
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000047

QEN| Let $a$, $b$, $\alpha$, and $\beta$ be prime numbers. $n$ is the number of ordered pairs $(a,b)$ where $2<a<b<50$ and $b-a=2$. Also, $\alpha$ and $\beta$ are the least and the greatest prime numbers less than 50. What is the value of $n$?
QBN| ধরা যাক $a$, $b$, $\alpha$ এবং $\beta$ হলো মৌলিক সংখ্যা। $n$ হলো $a$ এবং $b$-এর ক্রমজোড়ের সংখ্যা যেখানে $2<a<b<50$ এবং $b-a=2$। এছাড়াও, $\alpha$ এবং $\beta$ হলো 50-এর কম যথাক্রমে ক্ষুদ্রতম ও বৃহত্তম মৌলিক সংখ্যা। তাহলে প্রদত্ত রাশির মান কত?
Common| 
Image| 
A| 294
B| 598
C| 354
D| 493
Shift| 10/02/2026 12:45 PM - 2:15 PM
Correct| A
Difficulty| 6.01
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000048

QEN| The number of prime numbers lying between 480 and 489 is:
QBN| 480 এবং 489 এর মধ্যে থাকা মৌলিক সংখ্যার সংখ্যা হলো:
Common| 
Image| 
A| 2
B| 1
C| 3
D| 0
Shift| 03/12/2025 4:30 PM - 6:00 PM
Correct| B
Difficulty| 8.32
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000049

QEN| The number of prime numbers lying between 386 and 395 is:
QBN| 386 এবং 395 এর মধ্যে থাকা মৌলিক সংখ্যার সংখ্যা হলো:
Common| 
Image| 
A| 3
B| 1
C| 0
D| 2
Shift| 04/12/2025 4:30 PM - 6:00 PM
Correct| B
Difficulty| 8.05
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000050

QEN| The number of prime numbers between 445 and 456 is:
QBN| 445 এবং 456 এর মধ্যে মৌলিক সংখ্যার সংখ্যা হলো:
Common| 
Image| 
A| 1
B| 2
C| 3
D| 0
Shift| 03/02/2026 9:00 AM - 10:30 AM
Correct| A
Difficulty| 9.02
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000051

QEN| The number of prime numbers lying between 309 and 320 is:
QBN| 309 এবং 320 এর মধ্যে থাকা মৌলিক সংখ্যার সংখ্যা হলো:
Common| 
Image| 
A| 5
B| 1
C| 3
D| 4
Shift| 11/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 5.40
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000052

QEN| The number of prime numbers lying between 374 and 384 is:
QBN| 374 এবং 384 এর মধ্যে থাকা মৌলিক সংখ্যার সংখ্যা হলো:
Common| 
Image| 
A| 3
B| 0
C| 1
D| 2
Shift| 27/11/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 6.90
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000053

QEN| The number of prime numbers lying between 469 and 474 is:
QBN| 469 এবং 474 এর মধ্যে থাকা মৌলিক সংখ্যার সংখ্যা হলো:
Common| 
Image| 
A| 3
B| 2
C| 1
D| 0
Shift| 04/02/2026 12:45 PM - 2:15 PM
Correct| C
Difficulty| 5.14
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000054

QEN| The number of prime numbers lying between 440 and 452 is:
QBN| 440 এবং 452 এর মধ্যে থাকা মৌলিক সংখ্যার সংখ্যা হলো:
Common| 
Image| 
A| 1
B| 3
C| 2
D| 0
Shift| 04/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 5.99
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000055

QEN| The number of prime numbers lying between 376 and 384 is:
QBN| 376 এবং 384 এর মধ্যে থাকা মৌলিক সংখ্যার সংখ্যা হলো:
Common| 
Image| 
A| 4
B| 2
C| 1
D| 3
Shift| 04/02/2026 4:30 PM - 6:00 PM
Correct| B
Difficulty| 7.28
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000056

QEN| The sum of the first 21 prime numbers is:
QBN| প্রথম 21 টি মৌলিক সংখ্যার সমষ্টি হলো:
Common| 
Image| 
A| 709
B| 712
C| 717
D| 710
Shift| 30/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 5.13
Topic| 
SubTopic| Prime No.
QuestionID| MATH-000057

QEN| The number of prime numbers between 368 and 376 is:
QBN| 368 এবং 376 এর মধ্যে থাকা মৌলিক সংখ্যার সংখ্যা হলো:
Common| 
Image| 
A| 2
B| 1
C| 3
D| 0
Shift| 05/02/2026 9:00 AM - 10:30 AM
Correct| A
Difficulty| 5.90
Topic| 
